i x y side frame field experiment
15 559 155 sx 2 0 .
16 571 169 sx 2 0 .
17 561 187 sx 2 0 .
18 562 208 sx 2 0 .
19 552 220 sx 2 0 .
20 551 239 sx 2 0 .
21 564 249 sx 2 0 .
22 581 256 sx 2 0 .
23 598 247 sx 2 0 .
24 591 231 sx 2 0 .
25 589 216 sx 2 0 .
26 585 197 sx 2 0 .
27 586 177 sx 2 0 .
28 597 166 sx 2 0 .
29 595 186 sx 2 0 .
30 598 205 sx 2 0 .
31 602 220 sx 2 0 .
32 610 237 sx 2 0 .
33 600 255 sx 2 0 .
34 609 268 sx 2 0 .
35 609 286 sx 2 0 .
36 607 305 sx 2 0 .
37 601 320 sx 2 0 .
38 593 337 sx 2 0 .
39 588 354 sx 2 0 .
40 585 374 sx 2 0 .
41 581 392 sx 2 0 .
42 577 411 sx 2 0 .
43 575 431 sx 2 0 .
44 575 451 sx 2 0 .
45 583 468 sx 2 0 .
46 592 482 sx 2 0 .
47 586 492 sx 2 0 .
48 576 508 sx 2 0 .
49 583 527 sx 2 0 .
50 582 546 sx 2 0 .
51 591 556 sx 2 0 .
52 587 575 sx 2 0 .
53 574 583 sx 2 0 .
54 557 588 sx 2 0 .
55 559 609 sx 2 0 .
56 577 612 sx 2 0 .
57 574 633 sx 2 0 .
58 571 652 sx 2 0 .
59 567 671 sx 2 0 .
60 559 688 sx 2 0 .
61 554 707 sx 2 0 .
62 573 713 sx 2 0 .
63 587 711 sx 2 0 .
64 581 731 sx 2 0 .
65 575 746 sx 2 0 .
66 574 766 sx 2 0 .
67 569 785 sx 2 0 .
68 582 801 sx 2 0 .
69 602 795 sx 2 0 .
70 613 809 sx 2 0 .
71 631 814 sx 2 0 .
72 645 824 sx 2 0 .
73 655 841 sx 2 0 .
74 644 857 sx 2 0 .
75 624 851 sx 2 0 .
76 608 861 sx 2 0 .
77 593 872 sx 2 0 .
78 576 870 sx 2 0 .
79 558 867 sx 2 0 .
80 552 885 sx 2 0 .
81 551 907 sx 2 0 .
82 553 924 sx 2 0 .
83 545 939 sx 2 0 .
84 542 958 sx 2 0 .
85 541 978 sx 2 0 .
86 536 996 sx 2 0 .
87 538 1015 sx 2 0 .
88 534 1034 sx 2 0 .
89 532 1053 sx 2 0 .
90 529 1073 sx 2 0 .
91 526 1092 sx 2 0 .
92 526 1112 sx 2 0 .
93 542 1123 sx 2 0 .
94 557 1113 sx 2 0 .
95 562 1126 sx 2 0 .
96 548 1135 sx 2 0 .
97 546 1156 sx 2 0 .
98 547 1175 sx 2 0 .
99 548 1195 sx 2 0 .
0 1052 7 dx 3 0 .
1 1045 30 dx 3 0 .
2 1028 48 dx 3 0 .
3 1031 73 dx 3 0 .
4 1033 100 dx 3 0 .
5 1038 124 dx 3 0 .
6 1032 149 dx 3 0 .
7 1016 165 dx 3 0 .
8 1005 188 dx 3 0 .
9 1007 217 dx 3 0 .
10 1011 241 dx 3 0 .
11 1018 264 dx 3 0 .
12 1020 289 dx 3 0 .
13 1016 310 dx 3 0 .
14 998 297 dx 3 0 .
15 996 271 dx 3 0 .
16 985 287 dx 3 0 .
17 979 313 dx 3 0 .
18 976 342 dx 3 0 .
19 989 366 dx 3 0 .
20 989 396 dx 3 0 .
21 977 417 dx 3 0 .
22 952 422 dx 3 0 .
23 927 417 dx 3 0 .
24 904 430 dx 3 0 .
25 909 456 dx 3 0 .
26 935 460 dx 3 0 .
27 933 486 dx 3 0 .
28 956 493 dx 3 0 .
29 964 513 dx 3 0 .
30 977 533 dx 3 0 .
31 988 550 dx 3 0 .
32 998 569 dx 3 0 .
33 1008 592 dx 3 0 .
34 1015 615 dx 3 0 .
35 1023 637 dx 3 0 .
36 1033 655 dx 3 0 .
37 1020 672 dx 3 0 .
38 1005 690 dx 3 0 .
39 979 688 dx 3 0 .
40 964 700 dx 3 0 .
41 958 724 dx 3 0 .
42 935 729 dx 3 0 .
43 957 738 dx 3 0 .
44 970 723 dx 3 0 .
45 978 702 dx 3 0 .
46 994 716 dx 3 0 .
47 999 738 dx 3 0 .
48 1001 756 dx 3 0 .
49 973 749 dx 3 0 .
50 951 759 dx 3 0 .
51 934 775 dx 3 0 .
52 942 798 dx 3 0 .
53 960 815 dx 3 0 .
54 945 834 dx 3 0 .
55 961 854 dx 3 0 .
56 985 857 dx 3 0 .
57 1002 872 dx 3 0 .
58 983 885 dx 3 0 .
59 958 882 dx 3 0 .
60 935 890 dx 3 0 .
61 958 898 dx 3 0 .
62 966 921 dx 3 0 .
63 941 923 dx 3 0 .
64 926 923 dx 3 0 .
65 941 940 dx 3 0 .
66 967 944 dx 3 0 .
67 979 963 dx 3 0 .
68 992 978 dx 3 0 .
69 1006 965 dx 3 0 .
70 985 957 dx 3 0 .
71 990 932 dx 3 0 .
72 1006 913 dx 3 0 .
73 1021 929 dx 3 0 .
74 1016 954 dx 3 0 .
75 1021 978 dx 3 0 .
76 1032 1000 dx 3 0 .
77 1022 1023 dx 3 0 .
78 1002 1035 dx 3 0 .
79 1016 1029 dx 3 0 .
80 1038 1020 dx 3 0 .
81 1059 1028 dx 3 0 .
82 1080 1036 dx 3 0 .
83 1065 1054 dx 3 0 .
84 1038 1056 dx 3 0 .
85 1025 1043 dx 3 0 .
86 1022 1067 dx 3 0 .
87 1001 1076 dx 3 0 .
88 982 1090 dx 3 0 .
89 968 1105 dx 3 0 .
90 969 1132 dx 3 0 .
91 977 1158 dx 3 0 .
92 954 1170 dx 3 0 .
93 950 1144 dx 3 0 .
94 942 1125 dx 3 0 .
95 921 1124 dx 3 0 .
96 897 1134 dx 3 0 .
97 878 1144 dx 3 0 .
98 883 1169 dx 3 0 .
99 887 1194 dx 3 0 .
0 642 14 sx 3 0 .
1 628 26 sx 3 0 .
2 619 38 sx 3 0 .
3 600 41 sx 3 0 .
4 583 49 sx 3 0 .
5 578 65 sx 3 0 .
6 594 76 sx 3 0 .
7 606 89 sx 3 0 .
8 620 103 sx 3 0 .
9 613 123 sx 3 0 .
10 614 144 sx 3 0 .
11 603 157 sx 3 0 .
12 587 147 sx 3 0 .
13 567 149 sx 3 0 .
14 569 127 sx 3 0 .
15 553 120 sx 3 0 .
16 535 119 sx 3 0 .
17 541 136 sx 3 0 .
18 553 148 sx 3 0 .
19 560 160 sx 3 0 .
20 561 180 sx 3 0 .
21 559 199 sx 3 0 .
22 559 219 sx 3 0 .
23 549 234 sx 3 0 .
24 563 245 sx 3 0 .
25 567 261 sx 3 0 .
26 581 273 sx 3 0 .
27 586 256 sx 3 0 .
28 599 241 sx 3 0 .
29 586 230 sx 3 0 .
30 592 210 sx 3 0 .
31 604 212 sx 3 0 .
32 610 228 sx 3 0 .
33 605 248 sx 3 0 .
34 605 268 sx 3 0 .
35 613 286 sx 3 0 .
36 608 303 sx 3 0 .
37 605 321 sx 3 0 .
38 593 337 sx 3 0 .
39 588 355 sx 3 0 .
40 586 375 sx 3 0 .
41 582 394 sx 3 0 .
42 578 413 sx 3 0 .
43 575 432 sx 3 0 .
44 576 450 sx 3 0 .
45 584 468 sx 3 0 .
46 585 489 sx 3 0 .
47 583 508 sx 3 0 .
48 589 528 sx 3 0 .
49 577 540 sx 3 0 .
50 568 555 sx 3 0 .
51 560 569 sx 3 0 .
52 557 588 sx 3 0 .
53 557 609 sx 3 0 .
54 576 612 sx 3 0 .
